TransactionID,UserID,CourseID,TransactionDate,UserName,Age,AgeGroup,Gender,CourseName,CourseCategory,CourseType,CourseLevel,Year,Month,MonthName,Quarter,DayOfWeek
TT00001,U00003,CR00016,2025-10-25,morrisonamanda,33,26-35,Female,Digital Marketing,Marketing,Free,Intermediate,2025,10,October,4,Saturday
TT00002,U00003,CR00037,2025-01-13,morrisonamanda,33,26-35,Female,Scrum Essentials,Project Management,Free,Intermediate,2025,1,January,1,Monday
TT00003,U00003,CR00019,2025-03-28,morrisonamanda,33,26-35,Female,Content Marketing,Marketing,Free,Advanced,2025,3,March,1,Friday
TT00004,U00004,CR00048,2025-06-02,fthornton,23,18-25,Female,AI Ethics,Artificial Intelligence,Free,Beginner,2025,6,June,2,Monday
TT00005,U00004,CR00060,2025-08-10,fthornton,23,18-25,Female,Content Creation,Digital Marketing,Free,Beginner,2025,8,August,3,Sunday
TT00006,U00004,CR00042,2025-10-30,fthornton,23,18-25,Female,Investment Strategies,Finance,Free,Intermediate,2025,10,October,4,Thursday
TT00007,U00004,CR00017,2025-05-09,fthornton,23,18-25,Female,SEO Mastery,Marketing,Free,Advanced,2025,5,May,2,Friday
TT00008,U00004,CR00025,2025-05-07,fthornton,23,18-25,Female,Statistical Analysis,Data Science,Paid,Beginner,2025,5,May,2,Wednesday
TT00009,U00013,CR00003,2025-10-05,cherrykathleen,33,26-35,Female,C++ for Beginners,Programming,Free,Beginner,2025,10,October,4,Sunday
TT00010,U00013,CR00032,2025-09-29,cherrykathleen,33,26-35,Female,Ethical Hacking,Cybersecurity,Free,Advanced,2025,9,September,3,Monday
TT00011,U00013,CR00060,2025-11-26,cherrykathleen,33,26-35,Female,Content Creation,Digital Marketing,Free,Beginner,2025,11,November,4,Wednesday
TT00012,U00013,CR00030,2025-01-20,cherrykathleen,33,26-35,Female,Reinforcement Learning,Machine Learning,Free,Intermediate,2025,1,January,1,Monday
TT00013,U00013,CR00056,2025-08-28,cherrykathleen,33,26-35,Female,Google Ads Mastery,Digital Marketing,Paid,Advanced,2025,8,August,3,Thursday
TT00014,U00015,CR00045,2025-04-27,tbaker,27,26-35,Female,Financial Modeling,Finance,Free,Advanced,2025,4,April,2,Sunday
TT00015,U00015,CR00046,2025-02-19,tbaker,27,26-35,Female,AI for Beginners,Artificial Intelligence,Paid,Beginner,2025,2,February,1,Wednesday
TT00016,U00015,CR00040,2025-12-22,tbaker,27,26-35,Female,Leadership in Projects,Project Management,Paid,Beginner,2025,12,December,4,Monday
TT00017,U00015,CR00019,2025-07-14,tbaker,27,26-35,Female,Content Marketing,Marketing,Free,Advanced,2025,7,July,3,Monday
TT00018,U00018,CR00046,2025-05-22,nicole97,24,18-25,Female,AI for Beginners,Artificial Intelligence,Paid,Beginner,2025,5,May,2,Thursday
